index,instruction
0,"Provide the opposite of a given adjective."
1,"State the antonym for any adjective supplied."
2,"Identify the contrasting term to an adjective you're given."
3,"Give the word that means the opposite of a presented adjective."
4,"Offer the antonym corresponding to a stated adjective."
5,"Respond with the opposite meaning of the supplied adjective."
6,"Return the antonym when an adjective is provided."
7,"Name the opposite descriptor of a provided adjective."
8,"Supply the opposite-quality word for a given adjective."
9,"Produce the antonym of whichever adjective appears."
10,"Indicate the word that carries the reverse sense of a given adjective."
11,"Provide a term that opposes the meaning of the adjective offered."
12,"State a word expressing the inverse meaning of the provided adjective."
13,"Give an adjective that contrasts with the one you receive."
14,"Identify the opposite-quality adjective for the input adjective."
15,"Share the antonym associated with the adjective presented."
16,"Return a word that negates the meaning of the supplied adjective."
17,"Deliver the opposing adjective for the one that is given."
18,"State the reverse-meaning adjective for the input."
19,"Provide a contrasting adjective for the one mentioned."
20,"Offer the opposite descriptor matching the given adjective."
21,"Respond with the adjective that means the opposite of the prompt."
22,"Give the inverse of any adjective provided."
23,"Identify the opposing descriptive term for the input adjective."
24,"Supply the antonym that corresponds to the adjective stated."
25,"Produce a word expressing the opposite meaning of the given adjective."
26,"Name the contrastive adjective for the one provided."
27,"Return the adjective whose meaning counters that of the supplied one."
28,"Indicate the opposite expression for the adjective offered."
29,"Provide a term with opposite descriptive force to the given adjective."
30,"State the antonym that best matches the provided adjective."
31,"Give the reverse adjective associated with the one you're given."
32,"Identify a word that expresses the opposite quality of the input adjective."
33,"Offer the contrasting counterpart to the provided adjective."
34,"Respond with the opposite descriptor appropriate to the adjective."
35,"Produce the opposing term for the adjective you receive."
36,"Supply the inverse-meaning adjective for the input."
37,"Provide an adjective that negates the meaning conveyed by the given one."
38,"State a contrasting descriptor for the adjective mentioned."
39,"Give the antonym that opposes the meaning of the supplied adjective."
40,"Identify the adjective with reverse meaning relative to the input."
41,"Deliver the opposite term for whatever adjective is presented."
42,"Name the inverse descriptor matching the adjective provided."
43,"Offer the adjective that stands opposite in meaning to the input."
44,"Respond by stating the antonym of the given adjective."
45,"Provide the contrasting adjective linked to the supplied one."
46,"State the reverse-expression adjective for the prompt."
47,"Give the adjective that carries a meaning opposite to the one presented."
48,"Identify the antonym that contradicts the adjective you receive."
49,"Supply the reverse descriptor for any provided adjective."
50,"Produce the adjective expressing a contrary meaning to the input."
51,"Offer a contrasting adjective reflecting the opposite trait."
52,"State an opposing descriptive word for the given adjective."
53,"Give an antonym capturing the reverse sense of the supplied adjective."
54,"Identify the adjective that counters the meaning of the input adjective."
55,"Provide the term that conveys the opposite quality of the adjective."
56,"Return the opposite descriptor relevant to the presented adjective."
57,"Name the adjective that directly opposes the given term."
58,"Respond with the inverse expression for the supplied adjective."
59,"Offer the reverse-meaning adjective tied to the input."
60,"Produce the contrastive term opposite the adjective mentioned."
61,"Supply a word that expresses the negation of the given adjective."
62,"State the descriptor whose meaning stands in opposition to the input adjective."
63,"Give an adjective that bears the reverse sense of the one provided."
64,"Identify the opposing-quality word that counters the input."
65,"Provide a term representing the opposite meaning of the adjective."
66,"Return a descriptor that is the antonym of the offered adjective."
67,"Name the reverse adjective to the one you are given."
68,"Respond by giving the contrasting adjective corresponding to the input."
69,"Offer the opposing term for the specified adjective."
70,"Produce the adjective that expresses an opposite trait to the given one."
71,"Supply the inverse-meaning descriptor tied to the adjective."
72,"State the adjective whose meaning negates the supplied term."
73,"Give the opposite-oriented adjective for the one provided."
74,"Identify the contrastive expression for the given adjective."
75,"Provide an antonym to counterbalance the meaning of the input adjective."
76,"Return the opposing descriptor for the mentioned adjective."
77,"Name the adjective that stands in contrast to the presented one."
78,"Respond with a word that reverses the meaning of the supplied adjective."
79,"Offer the opposite descriptive adjective for the input."
80,"Produce an adjective that communicates the opposite meaning."
81,"Supply a contrasting descriptor for an adjective you're given."
82,"State the reverse-term adjective aligned with the input."
83,"Give the term that is opposite in meaning to the provided adjective."
84,"Identify the inverse descriptor of the adjective in question."
85,"Provide a word whose meaning contradicts the given adjective."
86,"Return the contrasting adjective corresponding to the input."
87,"Name an adjective that serves as the antonym of the presented term."
88,"Respond by stating the opposite quality for the supplied adjective."
89,"Offer the opposing-quality adjective for the input."
90,"Produce the descriptor that negates the meaning of the given adjective."
91,"Supply the opposite-word adjective for the input."
92,"State the adjective whose meaning counters the given term."
93,"Give the antonymic descriptor for the adjective."
94,"Identify the adjective that conveys the reverse trait of the one provided."
95,"Provide the contrasting term associated with the input adjective."
96,"Return an opposite-meaning adjective to the one offered."
97,"Name the adjective that holds an opposite sense to the provided one."
98,"Respond with a descriptor expressing the inverse of the input adjective."
